bohr_id,X,Y,latitude,longitude,dataset
Kirchheilingen 061/1968,4409471.5,5674140.7,51.19504509898072,10.703415800939862,SVZ
Kirchheilingen 063/1968,4410358.8,5673889.2,51.192924908478304,10.716168636722518,SVZ
Kirchheilingen 072/1968,4409135.4,5674682.7,51.19986230145947,10.698471799412442,SVZ
Kirchheilingen 073/1968,4412249.9,5673731.4,51.19180033401902,10.743252487505593,SVZ
Kirchheilingen 074/1968,4409824.4,5676277.6,51.21430363443989,10.707925996866864,SVZ
Kirchheilingen 079/1968,4411487.0,5672625.0,51.181740172621296,10.732614857357406,SVZ
Kirchheilingen 080/1968,4409651.6,5674827.1,51.201241770992276,10.705818828297641,SVZ
Kirchheilingen 081/1969,4411001.1,5672731.9,51.18262538666254,10.725641064015697,SVZ
Kirchheilingen 083/1969,4410860.9,5673497.8,51.189486186892566,10.723446442900698,SVZ
Kirchheilingen 084/1969,4411570.9,5672059.8,51.17667404665505,10.733953510725438,SVZ
Krahnberg 1/1963,4405725.4,5647666.9,50.956538912309526,10.656743522373432,SVZ
Krahnberg 14/1965,4404274.7,5650408.16,50.980933759026634,10.63538146048579,SVZ
Krahnberg 18/1965,4407479.8,5650945.0,50.986281934104994,10.680871841694996,SVZ
Krahnberg 2/1963,4406802.9,5648043.5,50.960098469289164,10.671978077406255,SVZ
Küllstedt 2/1966,4376471.4,5684737.63,51.28407131276194,10.227880278657741,SVZ
Langensalza 014/1961,4408731.1,5668526.2,51.14447395928848,10.694251717148793,SVZ
Langensalza 035/1970,4410553.0,5665310.8,51.11586656404023,10.721077820250615,SVZ
Langensalza 036/1970,4411469.5,5665143.5,51.11450543529208,10.734204226327124,SVZ
Langensalza 112/1961,4409749.4,5667207.5,51.132785064907644,10.709129719608944,SVZ
Langensalza 114/1961,4410459.6,5666804.5,51.129275007166825,10.719373385709163,SVZ
Lenders 1/1964,4363304.26,5621430.51,50.71233489720237,10.06308260541581,SVZ
